"","id","Researcher","Affilitation","Citation","Instrument","Analysis","Polymer","Magnification","Color","Morphology","SizeFraction","Dimension"
"21","1s1FPyrI7n891cjVvJ7TyoW6sHMa6tUCg","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
"22","1roJ3vmVuqEPgYx7vFWkLGO5g8DWmsrDT","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"23","1q-65LVIA_M1JMDbxBStwqqjik6ULSVug","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Black","Fragment","1-20 um","Nominal"
"24","1Mw7G-xzYZMr58mteWndNaEv8E-BHG11e","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Foam","20-212 um","Nominal"
"25","1sQdMADOves0wJDWgCZGs2E47C1tQvWJu","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Black","Fiber","1-20 um","Nominal"
"26","1sNdNzninqlp8ylx2rq128x58X6m6PquZ","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Black","Fragment","1-20 um","Nominal"
"27","1sZbEWgdFYNcZLHFWOvzLTMm5bE00noa5","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"28","1sDGc3BL3rRbXnLxDa-JenUA7fVYUG8HC","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"29","1saLHtWL8UoGitvJO9q20ZxpyH61GPI31","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Grey","Fiber","1-20 um","Nominal"
"30","1sPehDw20i9O6DosR0ASknmTiSt8MV285","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Film","1-20 um","Nominal"
