file_name,citation,color,morphology,polymer,size,type
d_sd_1_above500_1,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
d_sd_1_above500_2,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
d_sd_1_above500_3,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
d_sd_1_above500_4,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
d_sd_1_above500_5,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
d_sd_1_above500_6,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_7,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_8,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_9,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_10,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_11,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_12,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_13,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_14,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
d_sd_1_above500_15,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_16,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_17,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_18,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_19,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_20,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_21,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_22,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
d_sd_1_above500_23,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PS,,visual microscopy
d_sd_1_above500_24,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_25,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_26,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_27,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_28,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_29,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_30,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_31,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_32,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_33,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_34,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_35,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_52,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_57,SCCWRP Interlaboratory Comparison 2020-2022,,,,>500 um,visual microscopy
d_sd_1_above500_59,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_94,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_above500_95,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_28,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_30,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_37,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_47,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_52,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_65,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_67,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_68,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_69,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_70,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_1_212-500_71,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_2_above500_45,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,212-500 um,visual microscopy
d_sd_2_above500_51,SCCWRP Interlaboratory Comparison 2020-2022,,,,212-500 um,visual microscopy
d_sd_2_above500_52,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,20-212 um,visual microscopy
d_sd_2_above500_71,SCCWRP Interlaboratory Comparison 2020-2022,,,,1-20 um,visual microscopy
d_sd_2_above500_72,SCCWRP Interlaboratory Comparison 2020-2022,,,,>500 um,visual microscopy
d_sd_2_above500_73,SCCWRP Interlaboratory Comparison 2020-2022,,,,212-500 um,visual microscopy
d_sd_2_above500_74,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_2_212-500_16,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,20-212 um,visual microscopy
d_sd_2_212-500_39,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_above500_31,SCCWRP Interlaboratory Comparison 2020-2022,White,Fiber,bunny fur,>500 um,visual microscopy
d_sd_3_above500_43,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,>500 um,visual microscopy
d_sd_3_above500_50,SCCWRP Interlaboratory Comparison 2020-2022,,,,>500 um,visual microscopy
