file_name,citation,color,morphology,polymer,size,type
d_sd_3_above500_52,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,212-500 um,visual microscopy
d_sd_3_above500_53,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,20-212 um,visual microscopy
d_sd_3_212-500_16,SCCWRP Interlaboratory Comparison 2020-2022,,,,1-20 um,visual microscopy
d_sd_3_212-500_17,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_212-500_19,SCCWRP Interlaboratory Comparison 2020-2022,,,,212-500 um,visual microscopy
d_sd_3_212-500_20,SCCWRP Interlaboratory Comparison 2020-2022,,,,>500 um,visual microscopy
d_sd_3_212-500_30,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_212-500_41,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_212-500_43,SCCWRP Interlaboratory Comparison 2020-2022,,,,1-20 um,visual microscopy
d_sd_3_212-500_49,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_212-500_53,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
d_sd_3_212-500_55,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,,visual microscopy
d_sd_3_212-500_68,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,>500 um,visual microscopy
d_sd_3_20-212_1,SCCWRP Interlaboratory Comparison 2020-2022,,,,212-500 um,visual microscopy
d_sd_3_20-212_2,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_20-212_3,SCCWRP Interlaboratory Comparison 2020-2022,,,,>500 um,visual microscopy
d_sd_3_20-212_4,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,212-500 um,visual microscopy
d_sd_3_20-212_5,SCCWRP Interlaboratory Comparison 2020-2022,,,,20-212 um,visual microscopy
d_sd_3_20-212_6,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,20-212 um,visual microscopy
rr_dw_2_212-500_60,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_22,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_18,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
b_dw_1_above500_1,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
b_dw_1_above500_2,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_3,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
b_dw_1_above500_4,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_5,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_6,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_7,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_8,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_9,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_10,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_11,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_12,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_13,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_14,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_15,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_16,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_17,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_19,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_20,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_21,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_22,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_23,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_24,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_25,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
b_dw_1_above500_26,SCCWRP Interlaboratory Comparison 2020-2022,Blue,Fragment,PS,,visual microscopy
b_dw_1_above500_27,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_28,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_29,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_30,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_31,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_32,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_33,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_34,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_35,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_36,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_37,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_38,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_39,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_40,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_41,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_42,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_43,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_44,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_above500_45,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_46,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_47,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_48,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_49,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_50,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_51,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_52,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_53,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_54,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_55,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_56,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_57,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_58,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_59,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_60,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_61,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_62,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_63,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_64,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_65,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_66,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_67,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_68,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_69,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_70,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_71,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_72,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_73,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_74,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_75,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_76,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_77,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_78,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_79,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_80,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_81,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_82,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_83,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_84,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_85,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_86,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_87,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_88,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_89,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_90,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_91,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_92,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_93,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_94,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_95,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_96,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_97,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_98,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_99,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_100,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_101,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_102,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_103,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_105,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_106,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_107,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_108,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_109,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_110,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_111,SCCWRP Interlaboratory Comparison 2020-2022,Clear,Sphere,PS,,visual microscopy
b_dw_1_above500_112,SCCWRP Interlaboratory Comparison 2020-2022,Clear,Sphere,PS,,visual microscopy
b_dw_1_above500_113,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_114,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_115,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_116,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_117,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_118,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_119,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_120,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_121,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_above500_122,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_123,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_124,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_125,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_126,SCCWRP Interlaboratory Comparison 2020-2022,Red,Fiber,cotton,,visual microscopy
b_dw_1_above500_127,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_128,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_129,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_130,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_131,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_132,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_133,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_134,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_135,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_136,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_137,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_138,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_139,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_140,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_141,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_142,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_143,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_144,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_145,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_146,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_147,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_148,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_149,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_150,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_151,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_152,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_153,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_154,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_155,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_156,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_157,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_158,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_159,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_160,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_above500_161,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_1,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_2,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,,visual microscopy
b_dw_1_212-500_3,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_4,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_5,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_6,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_7,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_8,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_9,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_10,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_11,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_12,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_13,SCCWRP Interlaboratory Comparison 2020-2022,Green,Sphere,PE,,visual microscopy
b_dw_1_212-500_14,SCCWRP Interlaboratory Comparison 2020-2022,White,Sphere,PE,,visual microscopy
b_dw_1_212-500_15,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_16,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_17,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_18,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_19,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PET,,visual microscopy
b_dw_1_212-500_20,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_21,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS or PET,,visual microscopy
b_dw_1_212-500_23,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_24,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,,visual microscopy
b_dw_1_212-500_25,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS or PET,,visual microscopy
b_dw_1_212-500_26,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_27,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS or PET,,visual microscopy
b_dw_1_212-500_28,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_29,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_30,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_31,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
b_dw_1_212-500_32,SCCWRP Interlaboratory Comparison 2020-2022,Red,Fiber,cotton,,visual microscopy
b_dw_1_212-500_33,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS or PET,,visual microscopy
b_dw_1_212-500_34,SCCWRP Interlaboratory Comparison 2020-2022,White,Fragment,PS,,visual microscopy
b_dw_1_212-500_35,SCCWRP Interlaboratory Comparison 2020-2022,,,,,visual microscopy
