SampleID,SubsampleID,Size,Percentage
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,20-100 um,1.9 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,150 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_PA.10.1016/j.scitotenv.2021.150545,20-100 um,1.4 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_PA.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_PA.10.1016/j.scitotenv.2021.150545,5-10 um,195 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,40 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,100 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,1-5 mm,0.1 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.1 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,20-100 um,1.2 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,60 particles
B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,100 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_PA.10.1016/j.scitotenv.2021.150545,20-100 um,0.3 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_PA.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_PA.10.1016/j.scitotenv.2021.150545,5-10 um,50 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,20-100 um,0.1 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,80 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,50 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,40 particles
B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,15 particles
B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_PA.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_PA.10.1016/j.scitotenv.2021.150545,5-10 um,80 particles
B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_VINYL.10.1016/j.scitotenv.2021.150545,20-100 um,0.1 particles
B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,10 particles
B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,20 particles
C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_PET.10.1016/j.scitotenv.2021.150545,100-500 um,0.15 particles
C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.05 particles
C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,0.15 particles
C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS.10.1016/j.scitotenv.2021.150545,1-5 mm,0.1 particles
C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS.10.1016/j.scitotenv.2021.150545,100-500 um,0.15 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.03 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET.10.1016/j.scitotenv.2021.150545,100-500 um,0.02 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.06 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,0.01 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,1-5 mm,0.11 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.14 particles
C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.07 particles
C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,0.07 particles
C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,1-5 mm,0.08 particles
C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.03 particles
C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,100-500 um,0.08 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,1-5 mm,0.04 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.04 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,2.6 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,1-5mm,0.02 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.09 particles
C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,100-500 um,0.02 particles
C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.06 particles
C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,0.04 particles
C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,1-5 mm,0.07 particles
C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.03 particles
C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,100-500 um,0.07 particles
C_Sand.10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS.10.1016/j.scitotenv.2021.150545,1-5 mm,0.07 particles
