SampleID,SubsampleID,Morphology,Percentage
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,fiber,N/A
Finished.10.1016/j.scitotenv.2019.134520,N/A,fibers,620 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,spheres,82 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,fragments,228 particles
April_DWTP.10.1007/s11356-021-13769-x,N/A,spheres,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,fibers,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,fragments,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,spheres,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,fibers,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,fragments,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,spheres,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,fibers,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,fragments,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,fibers,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,fragments,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,fibers,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,fragments,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,fibers,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,fragments,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,fibers,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,fragments,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,spheres,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,fibers,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,fragments,N/A
TCQS.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
SHN.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
SHN.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
SHN.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
SHN.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
SHN.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
CHH.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
CHH.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
CHH.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
CHH.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
CHH.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
DAS.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
DAS.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
DAS.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
DAS.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
DAS.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
XHS.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
XHS.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
XHS.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
XHS.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
XHS.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
TCH.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
TCH.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
TCH.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
TCH.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
TCH.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
WHH.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
WHH.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
WHH.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
WHH.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
WHH.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
Spr.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
Spr.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
Spr.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
Spr.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
Spr.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
Sum.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
Sum.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
Sum.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
Sum.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
Sum.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
Aut.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
Aut.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
Aut.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
Aut.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
Aut.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
Win.10.1016/j.scitotenv.2021.148001,N/A,fibers,90.71%
Win.10.1016/j.scitotenv.2021.148001,N/A,fragments,7.72%
Win.10.1016/j.scitotenv.2021.148001,N/A,sheets,1.13%
Win.10.1016/j.scitotenv.2021.148001,N/A,pellets,0.36%
Win.10.1016/j.scitotenv.2021.148001,N/A,foams,0.08%
