DOI,Sample_ID,Subsample_ID,Location,Source,Date,Concentration,Concentration_Units
10.1371/journal.pone.0194970,Tap Water_Indonesia.10.1371/journal.pone.0194970,N/A,"Depok City, Indonesia; Desa Puspanegara, Indonesia; Jakarta, Indonesia; Jatirahayu, Indonesia; Kedaung, Indonesia; Menteng, Indonesia; North Paninggilan, Indonesia; Pasireurih, Indonesia; South Tangerang City, Indonesia; Sukatani, Indonesia; Teluknaga, Indonesia; Warnasari, Indonesia",Tap Water,N/A,3.23,particles/L
10.1371/journal.pone.0194970,Tap Water_Ireland.10.1371/journal.pone.0194970,N/A,"Dublin, Ireland",Tap Water,N/A,1.83,particles/L
10.1371/journal.pone.0194970,Tap Water_Italy.10.1371/journal.pone.0194970,N/A,"Pavia, Italy",Tap Water,N/A,0,particles/L
10.1371/journal.pone.0194970,Tap Water_Lebanon.10.1371/journal.pone.0194970,N/A,"Beirut, Lebanon; Burj el Brajneh, Lebanon; Choueifat, Lebanon; Ghobayreh, Lebanon; Khaldeh, Lebanon; Mreijeh, Lebanon",Tap Water,N/A,6.64,particles/L
10.1371/journal.pone.0194970,Tap Water_Slovakia.10.1371/journal.pone.0194970,N/A,"Brezova pod Bradlom, Slovakia; Kocvce, Slovakia; Piestany, Slovakia; Poprad, Slovakia; Prasnik, Slovakia; Radosina, Slovakia; Ruzomberok, Slovakia",Tap Water,N/A,3.83,particles/L
10.1371/journal.pone.0194970,Tap Water_Switzerland.10.1371/journal.pone.0194970,N/A,"Davos Platz, Switzerland; Gerbertingen, Switzerland",Tap Water,N/A,2.74,particles/L
10.1371/journal.pone.0194970,Tap Water_Uganda.10.1371/journal.pone.0194970,N/A,"Jinja, Uganda; Kampala, Uganda",Tap Water,N/A,3.92,particles/L
10.1371/journal.pone.0194970,Tap Water_USA.10.1371/journal.pone.0194970,N/A,"Alpena, USA; Buffalo, USA; Chicago, USA; Clayton, USA; Duluth, USA; Glenview, USA; Holland, USA; Lawrence, USA; Los Angeles, USA; Louisville, USA; Mahopack, USA; Middle Village, USA; New York City, USA; Overland Park, USA; Palmetto Bay, USA; Pinebluff, USA; Spring, USA; Washington DC, USA; Wauwatosa, USA",Tap Water,N/A,9.24,particles/L
10.1371/journal.pone.0194970,Bottled Water.10.1371/journal.pone.0194970,N/A,USA,Bottled water,N/A,3.57,particles/L
10.1371/journal.pone.0194970,Lake Superior 1.10.1371/journal.pone.0194970,N/A,Lake Superior,Beer bottles,N/A,0.67,particles/L
10.1371/journal.pone.0194970,Lake Superior 2.10.1371/journal.pone.0194970,N/A,Lake Superior,Beer bottles,N/A,4.33,particles/L
10.1371/journal.pone.0194970,Lake Superior 3.10.1371/journal.pone.0194970,N/A,Lake Superior,Beer bottles,N/A,3.33,particles/L
10.1371/journal.pone.0194970,Lake Michigan 1.10.1371/journal.pone.0194970,N/A,Lake Michigan,Beer bottles,N/A,1.33,particles/L
10.1371/journal.pone.0194970,Lake Michigan 2.10.1371/journal.pone.0194970,N/A,Lake Michigan,Beer bottles,N/A,0.00,particles/L
10.1371/journal.pone.0194970,Lake Michigan 3.10.1371/journal.pone.0194970,N/A,Lake Michigan,Beer bottles,N/A,14.3,particles/L
10.1371/journal.pone.0194970,Lake Michigan 4.10.1371/journal.pone.0194970,N/A,Lake Michigan,Beer bottles,N/A,2.33,particles/L
10.1371/journal.pone.0194970,Lake Huron 1.10.1371/journal.pone.0194970,N/A,Lake Huron,Beer bottles,N/A,1.33,particles/L
10.1371/journal.pone.0194970,Lake Erie 1.10.1371/journal.pone.0194970,N/A,Lake Erie,Beer bottles,N/A,2.00,particles/L
10.1371/journal.pone.0194970,Lake Erie 2.10.1371/journal.pone.0194970,N/A,Lake Erie,Beer bottles,N/A,3.00,particles/L
10.1371/journal.pone.0194970,Lake Ontario 1.10.1371/journal.pone.0194970,N/A,Lake Ontario,Beer bottles,N/A,8.00,particles/L
10.1371/journal.pone.0194970,Lake Ontario 2.10.1371/journal.pone.0194970,N/A,Lake Ontario,Beer bottles,N/A,8.00,particles/L
10.1016/j.sciotenv.2018.08.178,Nethen.1.10.1016/j.sciotenv.2018.08.178,N/A,"Nethen, Belgium",Tap water,N/A,3,particles/m3
10.1016/j.sciotenv.2018.08.178,Nethen.2.10.1016/j.sciotenv.2018.08.178,N/A,"Nethen, Belgium",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Nethen.3.10.1016/j.sciotenv.2018.08.178,N/A,"Nethen, Belgium",Tap water,N/A,1,particles/m3
10.1016/j.sciotenv.2018.08.178,Nethen.4.10.1016/j.sciotenv.2018.08.178,N/A,"Nethen, Belgium",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.1a.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Tap water,N/A,7,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.1b.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.2.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Tap water,N/A,1,particles/m3
