SampleID,SubsampleID,Polymer,Percentage
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,2.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,3.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,4.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,5.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,6.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,7.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,8.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,9.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,10.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,11.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,12.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,13.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,14.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,33.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,34.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,35.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,36.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,37.10.1016/j.chemosphere.2020.126493,others,9.8%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PE,26.7%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PP,24.4%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PE+PP,22%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PPS,7.3%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PS,6.5%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,PET,3.3%
10.1016/j.chemosphere.2020.126493,38.10.1016/j.chemosphere.2020.126493,others,9.8%
Finished.10.1016/j.scitotenv.2019.134520,N/A,PET,485 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,PE,125 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,PPE,125 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,PA,112 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,others,82 particles
April_DWTP.10.1007/s11356-021-13769-x,N/A,others,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,PA,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,PVC,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,PP,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,PET,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,PE,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,others,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,PA,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,PVC,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,PP,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,PET,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,PE,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,others,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,PA,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,PVC,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,PP,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,PET,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,PE,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,others,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,PA,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,PVC,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,PP,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,PET,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,PE,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,others,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,PVC,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,PP,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,PET,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,PE,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,others,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,PVC,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,PP,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,PET,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,PE,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,others,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,PA,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,PVC,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,PP,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,PET,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,PE,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,others,N/A
