DOI,Sample_ID,Location,Source,Date,Concentration,Polymers,Size,Shape,Color
10.18520/cs/v117/i11/1874-1879,C.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,6 particles/L,N/A,N/A,fibers; fragments,red; white; yellow
10.18520/cs/v117/i11/1874-1879,B1.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,5 particles/L,N/A,N/A,fibers; fragments,blue; white; yellow
10.18520/cs/v117/i11/1874-1879,B2.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,5 particles/L,N/A,N/A,fibers; fragments,pink; white
10.18520/cs/v117/i11/1874-1879,B3.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,5 particles/L,N/A,N/A,fibers; fragments,blue; white
10.18520/cs/v117/i11/1874-1879,B4.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,5 particles/L,N/A,N/A,fibers; fragments,blue; white; yellow
10.18520/cs/v117/i11/1874-1879,B5.10.18520/cs/v117/i11/1874-1879,"Chennai, India",Commercially available drinking water,N/A,2 particles/L,N/A,N/A,fibers; fragments,yellow
10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,610 particles/L,PE,410 particles 5-10um; 200 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1042.6 particles/L,PP,510 particles 5-10 um; 520  particles 10-20 um; 0.6 particles 100-500 um; 12 particles 20-100 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,560 particles/L,PVC,150 particles 10-20 um; 410 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1186 particles/L,PE,6 particles 20-100 um; 280 particles 10-20 um; 900 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1489 particles/L,PP,9 particles 20-10 0um; 380 particles 10-20 um; 1100 particles 5-10um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,100.4 particles/L,PVC,0.4 particles 20-100 um; 70 particles 10-20 um; 30 particles 5-10um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,353.2 particles/L,PE,0.2 particles 500 um-1 mm; 0.2 particles 100-500 um; 2.8 particles 20-100 um; 250 particles 5-10 um; 100 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1721.2 particles/L,PP,1 particles 20-100um; 0.2 particles 100-500 um; 620 particles 10-20um; 1100 particles 5-10um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,650 particles/L,PVC,200 particles 5-10 um; 450 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,271.2 particles/L,PE,1.1 particles 20-100 um; 0.1 particles 100-500 um; 120 particles 10-20 um; 150 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,200.5 particles/L,PP,0.4 particles 20-100 um; 0.1 particles 100-500 um; 80 particles 10-20 um; 120 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,200.5 particles/L,PVC,0.4 particles 20-100 um; 0.1 particles 100-500 um; 80 particles 10-20 um; 120 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,62.7 particles/L,PE,12 particles 20-100 um; 0.2 particles 100-500 um; 50 particles 5-10 um; 0.5 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,774.1 particles/L,PP,9 particles 20-100 um; 0.1 particles 100-500 um; 470 particles 5-10 um; 295 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,200.8 particles/L,PVC,0.7 particles 20-100 um; 0.1 particles 100-500 um; 50 particles  10-20 um; 150 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sand_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,280.6 particles/L,PE,0.6 particles 20-100 um; 100 particles 10-20 um; 180 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,260.4 particles/L,PP,0.4 particles 20-100 um; 70 particles 10-20 um; 190 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Sand_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,200 particles/L,PVC,80 particles 10-20 um; 120 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,180.1 particles/L,PE,0.1 particles 100-500 um; 110 particles 10-20 um; 70 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,200.1 particles/L,PP,0.1 particles 20-100 um; 100 particles 10-20 um; 100 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,A_Treated_PVC.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,90 particles/L,PVC,40 particles 10-20 um; 50 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,394.1 particles/L,PA,3.6 particles 20-100 um; 0.5 100-500 um; 95 particles 10-20 um; 295 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1092.3 particles/L,VINYL,0.3 particles 100-500 um; 2 particles 20-100 um; 710 particles 10-20 um; 380 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,2030 particles/L,VINYON,1350 particles 5-10 um; 680 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,451.3 particles/L,PA,1.2 particles 20-100 um; 0.1 particles 100-500 um; 400 particles 5-10 um; 50 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,1042 particles/L,VINYL,12 particles 20-100 um; 280 particles 10-20 um; 750 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,504.1 particles/L,VINYON,4 particles 20-100 um; 0.1 particles 100-500 um; 100 particles 10-20 um; 400 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,300 particles/L,PA,100 particles 10-20 um; 200 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,252 particles/L,VINYL,0.1 particles 500 um-1 mm; 0.2 particles 100-500 um; 1.7 particles 20-100 um; 100 particles 10-20 um; 150 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,552.4 particles/L,VINYON,0.2 particles 100-500 um; 2.2 particles 20-100 um; 150 particles 10-20 um; 400 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,413.2 particles/L,PA,0.2 particles 100-500 um; 2.9 particles 20-100 um; 210 particles 10-20 um; 200 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BAC_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,230 particles/L ,VINYL,80 particles 10-20 um; 150 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,232 particles/L,VINYON,1.9 particles 20-100 um; 0.1 particles 100-500 um; 80 particles 10-20 um; 150 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Flocc_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,276.4 particles/L,PA,1.4 particles 20-100 um; 80 particles 10-20 um; 195 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,140 particles/L,VINYL,40 particles 10-20 um; 100 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,161.5 particles/L,VINYON,0.1 particles 1-5 mm; 0.1 particles 500 um-1 mm; 0.1 particles 100-500 um; 1.2 particles 20-100 um; 60 particles 10-20 um; 100 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sand_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,150.3 particles/L,PA,0.3 particles 20-100 um; 100 particles 10-20 um; 50 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,130.1 particles/L,VINYL,0.1 particles 20-100 um; 80 particles 5-10 um; 50 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Sand_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,55 particles/L,VINYON,40 particles 5-10 um; 15 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Treated_PA.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,160 particles/L,PA,80 particles 10-20 um; 80 particles 5-10 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Treated_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.1 particles/L,VINYL,0.1 particles 20-100 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,B_Treated_VINYON.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,30 particles/L,VINYON,10 particles 5-10 um; 20 particles 10-20 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BioTreatment_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.15 particles/L,PET,0.15 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.2 particles/L,VINYL,0.05 particles 500 um-1 mm; 0.15 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.25 particles/L,OTHERS,0.1 particles 1-5 mm; 0.15 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.05 particles/L,PET,0.03 particles 500 um-1 mm; 0.02 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.07 particles/L,VINYL,0.06 particles 500 um-1 mm; 0.01 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.26 particles/L,OTHERS,"0.11 particles 1-5mm, 0.14 particles 500 um-1 mm; 0.1 particles 100-500 um",N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Ozonation_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,PET,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.14 particles/L,VINYL,0.07 particles 500 um-1 mm; 0.07 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.19 particles/L,OTHERS,0.08 particles 1-5mm; 0.03 particles 500 um-1 mm; 0.08 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BAC_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,PET,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,2.68 particles/L,VINYL,0.04 particles 1-5 mm; 0.04 particles 500 um-1 mm; 2.6 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.13 particles/L,OTHERS,0.02 particles 1-5 mm; 0.09 particles 500 um-1 mm; 0.02 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Flocc_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,PET,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.1 particles/L,VINYL,0.06 particles 500 um-1 mm; 0.04 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.17 particles/L,OTHERS,0.07 particles 500 um-1 mm; 0.03 particles 500 um-1 mm; 0.07 particles 100-500 um,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sand_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,PET,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sand_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,VINYL,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.09 particles/L,OTHERS,0.07 particles 1-5 mm; 0.02 particles 500 um-1 mm,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Treated_PET.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,PET,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Treated_VINYL.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,VINYL,N/A,N/A,N/A
10.1016/j.scitotenv.2021.150545,C_Treated_OTHERS.10.1016/j.scitotenv.2021.150545,,Drinking water treatment plant,N/A,0.0 particles/L,OTHERS,N/A,N/A,N/A
