DOI,Sample_ID,Location,Source,Date,Concentration,Polymers,Size,Shape,Color
10.3389/fchem.2018.00407,FAB: 211017 09:06SP,"Sao Paulo, Brazil",Minalba (bottled water brand),N/A,40.1 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,FAB: 160817 15:05SP,"Aparecida de Goiania, Brazil",Minalba (bottled water brand),N/A,12.5 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,FAB: 091217 16:53SP,"Rio de Janerio, Brazil",Minalba (bottled water brand),N/A,150 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,100517 278WF246,N/A,"Nestle Pure Life (bottled water brand, purchased on Amazon)",N/A,2277 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ,"Beirut, Lebanon",Nestle Pure Life (bottled water brand),N/A,49.3 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,730805210A 23:28,"Bangkok, Thailand",Nestle Pure Life (bottled water brand),N/A,468 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,BBE 11.2018 10,N/A,"San Pellegrino (bottled water brand, purchased on Amazon)",N/A,30.3 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,20171102 1214JN,"Jinan, China",Wahaha (bottled water brand),N/A,156 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,20171021 3214GH,"Beijing, China",Wahaha (bottled water brand),N/A,66.7 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,20171103 2106WF,"Qingdao, China",Wahaha (bottled water brand),N/A,67.1 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.1371/journal.pone.0194970,Tap Water_Cuba,"Havana, Cuba",Tap Water,N/A,7.17 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Ecuador,"Quito, Ecuador",Tap Water,N/A,4.02 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_England,"London, England",Tap Water,N/A,7.73 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_France,"Paris, France",Tap Water,N/A,1.82 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Germany,"Berlin, Germany; Tubingen, Germany",Tap Water,N/A,0.91 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_India,"Ner Delhi, India",Tap Water,N/A,6.24 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Indonesia,"Depok City, Indonesia; Desa Puspanegara, Indonesia; Jakarta, Indonesia; Jatirahayu, Indonesia; Kedaung, Indonesia; Menteng, Indonesia; North Paninggilan, Indonesia; Pasireurih, Indonesia; South Tangerang City, Indonesia; Sukatani, Indonesia; Teluknaga, Indonesia; Warnasari, Indonesia",Tap Water,N/A,3.23 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Ireland,"Dublin, Ireland",Tap Water,N/A,1.83 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Italy,"Pavia, Italy",Tap Water,N/A,0 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Lebanon,"Beirut, Lebanon; Burj el Brajneh, Lebanon; Choueifat, Lebanon; Ghobayreh, Lebanon; Khaldeh, Lebanon; Mreijeh, Lebanon",Tap Water,N/A,6.64 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Slovakia,"Brezova pod Bradlom, Slovakia; Kocvce, Slovakia; Piestany, Slovakia; Poprad, Slovakia; Prasnik, Slovakia; Radosina, Slovakia; Ruzomberok, Slovakia",Tap Water,N/A,3.83 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Switzerland,"Davos Platz, Switzerland; Gerbertingen, Switzerland",Tap Water,N/A,2.74 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_Uganda,"Jinja, Uganda; Kampala, Uganda",Tap Water,N/A,3.92 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Tap Water_USA,"Alpena, USA; Buffalo, USA; Chicago, USA; Clayton, USA; Duluth, USA; Glenview, USA; Holland, USA; Lawrence, USA; Los Angeles, USA; Louisville, USA; Mahopack, USA; Middle Village, USA; New York City, USA; Overland Park, USA; Palmetto Bay, USA; Pinebluff, USA; Spring, USA; Washington DC, USA; Wauwatosa, USA",Tap Water,N/A,9.24 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Bottled Water,USA,Bottled water,N/A,3.57 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Superior 1,Lake Superior,Beer bottles,N/A,0.67 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Superior 2,Lake Superior,Beer bottles,N/A,4.33 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Superior 3,Lake Superior,Beer bottles,N/A,3.33 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Michigan 1,Lake Michigan,Beer bottles,N/A,1.33 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Michigan 2,Lake Michigan,Beer bottles,N/A,0.00 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Michigan 3,Lake Michigan,Beer bottles,N/A,14.3 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Michigan 4,Lake Michigan,Beer bottles,N/A,2.33 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Huron 1,Lake Huron,Beer bottles,N/A,1.33 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Erie 1,Lake Erie,Beer bottles,N/A,2.00 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Erie 2,Lake Erie,Beer bottles,N/A,3.00 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Ontario 1,Lake Ontario,Beer bottles,N/A,8.00 particles/L,N/A,N/A,N/A,N/A
10.1371/journal.pone.0194970,Lake Ontario 2,Lake Ontario,Beer bottles,N/A,8.00 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Nethen.1,"Nethen, Belgium",Tap water,N/A,3 particles/m3,PVC; epoxy resin,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Nethen.2,"Nethen, Belgium",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Nethen.3,"Nethen, Belgium",Tap water,N/A,1 particles/m3,PA,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Nethen.4,"Nethen, Belgium",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.1a,"Holdorf, Germany",Tap water,N/A,7 particles/m3,PEST,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.1b,"Holdorf, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.2,"Holdorf, Germany",Tap water,N/A,1 particles/m3,PVC,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.3,"Holdorf, Germany",Tap water,N/A,3 particles/m3,PA; PEST,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.4,"Holdorf, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Grossenkneten.1,"Grossenkneten, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Grossenkneten.2,"Grossenkneten, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Grossenkneten.3,"Grossenkneten, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Grossenkneten.4,"Grossenkneten, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Sandelermoens.1,"Sandelermoens, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Sandelermoens.2,"Sandelermoens, Germany",Tap water,N/A,1 particles/m3,PA,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Sandelermoens.3,"Sandelermoens, Germany",Tap water,N/A,1 particles/m3,PEST,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Sandelermoens.4,"Sandelermoens, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
