Sample_ID,Source,Shape
1a.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 86%; fragments 10%; films 3%
1b.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 72%; fragments 28%
2.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 78%; fragments 6%; films 6%
3.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
4.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 62%; fragments 7%; films 31%
5.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 86%; fragments 14%
6.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 90%; fragments 10%
7.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
8.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 67%; fragments 23%; films 10%
9.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 84%; fragments 8%; films 8%
10.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
11.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
12.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 74%; fragments 26%
13.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
14.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 100%
15.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 74%; fragments 26%
16.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 70%; fragments 30%
17.http://dce2.au.dk/pub/SR291.pdf ,Tap water,fibers 92%; fragments 8%
S2.10.1016/j.hazmat.2021.125708,Drinking water treatment plant,N/A
S3.10.1016/j.hazmat.2021.125708,Drinking water treatment plant,N/A
S4.10.1016/j.hazmat.2021.125708,Drinking water treatment plant,N/A
In_Lab_10.1016/j.chemosphere.2021.131881,Spiked tap water,fiber; fragment
In_Line_10.1016/j.chemosphere.2021.131881,Spiked tap water,fiber; fragment
1.10.1016/j.cej.2018.11.155,Spiked tap water,N/A
settled_10.1016/j.chemosphere.2021.132587,Drinking water treatment plant,N/A
filtered_10.1016/j.chemosphere.2021.132587,Drinking water treatment plant,N/A
clearwell_10.1016/j.chemosphere.2021.132587,Drinking water treatment plant,N/A
distribution_10.1016/j.chemosphere.2021.132587,Drinking water treatment plant,N/A
V.10.1016/j.watres.2020.11.6519,Drinking water treatment plant,fibers 19%; fragments 81%
BJP.10.1016/j.watres.2020.11.6519,Drinking water treatment plant,fibers 19%; fragments 81%
BJH.10.1016/j.watres.2020.11.6519,Drinking water treatment plant,fibers 19%; fragments 81%
BOP.10.1016/j.watres.2020.11.6519,Drinking water treatment plant,fibers 19%; fragments 81%
BOH.10.1016/j.watres.2020.11.6519,Drinking water treatment plant,fibers 19%; fragments 81%
1.10.1007/s11270-022-05649-y,River water; spiked filter water,N/A
1.10.1016/j.scitotenv.2021.152623,Spiked drinking water,N/A
C.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
B1.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
B2.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
B3.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
B4.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
B5.10.18520/cs/v117/i11/1874-1879,Commercially available drinking water,fibers; fragments
A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Ozonation_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_BAC_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_BAC_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_BAC_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Flocc_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Flocc_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sand_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sand_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Sand_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Treated_PE.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Treated_PP.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
A_Treated_PVC.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BAC_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BAC_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Flocc_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sand_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Sand_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Treated_PA.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Treated_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
B_Treated_VINYON.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BioTreatment_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BioTreatment_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sedimentation_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Ozonation_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BAC_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Flocc_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sand_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sand_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Sand_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Treated_PET.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Treated_VINYL.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
C_Treated_OTHERS.10.1016/j.scitotenv.2021.150545,Drinking water treatment plant,N/A
